AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-51,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-36,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-43,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-46,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-43,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-46,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-46,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-46,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-46,67.75,"(9.6,7.5)",-48,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-43,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-43,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-57,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-40,30.39,"(0,7.5)",,"(7.5,3.2)"
-43,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-47,67.75,"(9.6,7.5)",-50,23.16,"(0,0)",-38,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-49,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-43,67.75,"(9.6,7.5)",-46,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-45,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
-44,67.75,"(9.6,7.5)",-47,23.16,"(0,0)",-39,30.39,"(0,7.5)",,"(7.5,3.2)"
