AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-61,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-28,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-29,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-60,8.7,"(9.6,7.5)",-51,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-32,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-32,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-59,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-58,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-61,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-60,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-60,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-60,8.7,"(9.6,7.5)",-59,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-59,76.9,"(0,0)",-32,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-51,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-60,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-29,38.65,"(0,7.5)",,"(1.5,6.4)"
-63,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-29,38.65,"(0,7.5)",,"(1.5,6.4)"
-64,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-59,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-59,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-29,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-64,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-58,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-64,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-29,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-53,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-52,76.9,"(0,0)",-31,38.65,"(0,7.5)",,"(1.5,6.4)"
-61,8.7,"(9.6,7.5)",-54,76.9,"(0,0)",-29,38.65,"(0,7.5)",,"(1.5,6.4)"
-62,8.7,"(9.6,7.5)",-51,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
-60,8.7,"(9.6,7.5)",-56,76.9,"(0,0)",-30,38.65,"(0,7.5)",,"(1.5,6.4)"
